city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
上海,美尔森电气保护系统(上海)有限公司,,2452.2万人民币,100-499人,机械/机电/重工,新桥镇书山路55弄A6-A8,31.020354,121.324739
上海-嘉定区,上海雪枫精密机械有限公司,未融资,285.7万人民币,50-99人,原材料加工,安亭镇谢春路1300弄8号,31.294853,121.226038
北京-大兴区,北京海纳川李尔汽车系统有限公司,未融资,8073.5万人民币,1000-2000人,汽车/摩托车,北京市大兴区采育开发区育政街3号,39.726929,116.341395
上海,西图自动控制(上海)有限公司,,670.0万人民币,50-99人,仪器/电气/自动化,上海市浦东新区金藏路258号5幢6楼,31.247634,121.598147
上海-静安区,上海新帆实业股份有限公司,未融资,3000万人民币,100-499人,机械/机电/重工,长安路768号大厅二楼,31.243904,121.452003
上海,上海托展机电设备有限公司,未融资,1000万人民币,100-499人,机械/机电/重工,上海市嘉定区马陆镇申裕路399弄123号,31.360039,121.282386
上海,上海宝丰机械制造有限公司,未融资,6200万人民币,100-499人,机械/机电/重工,上海市宝山区工业路458号,31.309811,121.36056
北京,华云升达公司,未融资,3000万人民币,100-499人,仪器/电气/自动化,北京市昌平区振兴路2号中国气象科技园1号楼,40.206981,116.228221
上海,上海中天印刷设备制造有限公司,未融资,1018万人民币,100-499人,机械/机电/重工,上海金山工业区金舸路909号（近天工路,30.821679,121.341775
广州,大昌行喜龙,未融资,3000万人民币,500-999人,汽车/摩托车,广州市荔湾区芳村花地大道中268号大昌行喜龙三楼,23.069469,113.23309
深圳,索斯科,,4283.31万人民币,1000-2000人,机械/机电/重工,宝安区鹏洲工业园,22.70356,113.78699
上海,牧森自动化,未融资,500万人民币,100-499人,机械/机电/重工,上海奉贤区南桥镇远东北路1515弄1号,30.949574,121.462916
上海,上海石田电子衡器有限公司,未融资,2010.0万人民币,100-499人,机械/机电/重工,浦东新区曹路民冬路,31.285847,121.651276
广州,广州市宝狮机电贸易有限公司,未融资,50万人民币,100-499人,汽车/摩托车,广州市白云区均禾七星岗工业区环岗二路狮子岭大道18号,23.251406,113.283789
上海,basco,,3484.0万人民币,100-499人,机械/机电/重工,上海市青浦区外青松公路5399号A32,31.180837,121.125832
上海,宁波申菱电梯部件集团,未融资,16000万人民币,1000-2000人,机械/机电/重工,松江区申港路3633号,31.02161,121.327932
上海,易格斯,,670.0万人民币,100-499人,机械/机电/重工,上海市外高桥保税区德堡路11号46号厂房A部位,31.306611,121.60601
上海,现代电梯,未融资,43550.0万人民币,500-999人,机械/机电/重工,青浦区练塘镇小蒸贞溪南路182号/徐汇区桂平路391号新漕河泾国际商务中心A座1201室,31.1645,121.404289
上海,E+H,未融资,6700.0万人民币,100-499人,仪器/电气/自动化,中国上海市江川东路458号，200241,31.01341,121.44206
深圳-福田区,深圳市潜力创新科技有限公司,未融资,50万人民币,1-49人,仪器/电气/自动化,福田区华强北街道福强社区华强北路 1002 号赛格广场 6908A,22.541412,114.087534
上海-浦东新区,沥高科技,未融资,6500万人民币,100-499人,原材料加工,康桥东路1365号18号楼,31.160661,121.637228
北京-通州区,中航成飞(北京)机械设备有限公司,未融资,1000万人民币,50-99人,机械/机电/重工,通胡大街78号京贸中心6009I,39.913069,116.686182
上海-普陀区,上海玻色智能科技有限公司,未融资,100万人民币,1-49人,仪器/电气/自动化,上海市长寿路393号昆仑商务中心1201室,31.239655,121.437518
上海-松江区,上海宝利德汽车有限公司,未融资,3000万人民币,100-499人,汽车/摩托车,上海市松江区车墩镇北松公路6656号2幢,31.002755,121.269591
深圳-龙岗区,深圳东方创银互联网金融服务有限公司,未融资,3000万人民币,50-99人,机械/机电/重工,深圳龙岗区五和大道南与雅宝路交汇处 雅宝路1号 星河world1期 b栋 29楼2905-2908室,22.604435,114.059492
上海-闵行区,哈工智能,IPO上市,61332.4339万人民币,1000-2000人,工业自动化,吴中路1799号万象城D栋8楼,31.167651,121.365026
上海-浦东新区,美卓流体控制(上海)有限公司,未融资,3685.0万人民币,100-499人,仪器/电气/自动化,外高桥保税区美约路261号,31.300049,121.631403
上海-金山区,上海鼎湘自动化科技有限公司,未融资,2000万人民币,50-99人,机械/机电/重工,九工路451弄255号,30.833978,121.342891
